State Abbreviation,ccode,Lead Id,Leader,Day of Start of Term of Office,Month of Start of Term of Office,Year of Start of Term of Office,Date of Term Of Office,Month of End of Term of Office,Year of End of Term of Office,Date of End of Term of Office,Year of birth,Gender,Military Career,Month of Election or Re-election Result,Year of Election or Re-election Result,Date of Election or Re-election Result
USA,2,A2.9-46,Truman,12,4,1945,1945-04-12,1,1953,1953-01-01,1884,Male,False,11,1948,1948-11-01
USA,2,A2.9-49,Eisenhower,20,1,1953,1953-01-20,1,1961,1961-01-01,1890,Male,True,11,1952,1952-11-01
USA,2,A2.9-52,Kennedy,20,1,1961,1961-01-20,11,1963,1963-11-01,1917,Male,False,11,1960,1960-11-01
USA,2,A2.9-55,Johnson,22,11,1963,1963-11-22,1,1969,1969-01-01,1908,Male,False,11,1964,1964-11-01
USA,2,A2.9-58,Nixon,20,1,1969,1969-01-20,8,1974,1974-08-01,1913,Male,False,11,1968,1968-11-01
USA,2,A2.9-61,Ford,9,8,1974,1974-08-09,1,1977,1977-01-01,1913,Male,False,0,0,
USA,2,A2.9-64,Carter,20,1,1977,1977-01-20,1,1981,1981-01-01,1924,Male,False,11,1976,1976-11-01
USA,2,A2.9-67,Reagan,20,1,1981,1981-01-20,1,1989,1989-01-01,1911,Male,False,11,1980,1980-11-01
USA,2,A2.9-70,Bush,20,1,1989,1989-01-20,1,1993,1993-01-01,1924,Male,False,11,1988,1988-11-01
USA,2,A2.9-73,Clinton,20,1,1993,1993-01-20,1,2001,2001-01-01,1946,Male,False,11,1992,1992-11-01
USA,2,A2.9-76,G.W. Bush,21,1,2001,2001-01-21,1,2009,2009-01-01,1946,Male,False,11,2000,2000-11-01
USA,2,A3.0-1,Obama,20,1,2009,2009-01-20,1,2017,2017-01-01,1961,Male,False,11,2008,2008-11-01
USA,2,cb-002-01,Trump,20,1,2017,2017-01-20,1,2021,2021-01-01,1946,Male,False,11,2016,2016-11-01
USA,2,ctb-2-1,Biden,20,1,2021,2021-01-20,0,0,,1942,Male,False,11,2021,2021-11-01
CAN,20,A2.9-121,St. Laurent,15,11,1948,1948-11-15,6,1957,1957-06-01,1882,Male,False,6,1949,1949-06-01
CAN,20,A2.9-124,Diefenbaker,21,6,1957,1957-06-21,4,1963,1963-04-01,1895,Male,False,6,1957,1957-06-01
CAN,20,A2.9-127,Pearson,22,4,1963,1963-04-22,4,1968,1968-04-01,1897,Male,False,4,1963,1963-04-01
CAN,20,A2.9-130,Trudeau,20,4,1968,1968-04-20,6,1979,1979-06-01,1919,Male,False,6,1968,1968-06-01
CAN,20,A2.9-133,Clark,4,6,1979,1979-06-04,3,1980,1980-03-01,1939,Male,False,5,1979,1979-05-01
CAN,20,A2.9-136,Trudeau,3,3,1980,1980-03-03,6,1984,1984-06-01,1919,Male,False,2,1980,1980-02-01
CAN,20,A2.9-139,Turner,30,6,1984,1984-06-30,9,1984,1984-09-01,1929,Male,False,0,0,
CAN,20,A2.9-142,Mulroney,17,9,1984,1984-09-17,6,1993,1993-06-01,1939,Male,False,9,1984,1984-09-01
CAN,20,A2.9-145,Kim Campbell,25,6,1993,1993-06-25,11,1993,1993-11-01,1947,Female,False,0,0,
CAN,20,A2.9-148,Chretien,4,11,1993,1993-11-04,12,2003,2003-12-01,1939,Male,False,10,1993,1993-10-01
CAN,20,A2.9-151,Paul Martin,12,12,2003,2003-12-12,2,2006,2006-02-01,1938,Male,False,6,2004,2004-06-01
CAN,20,A3.0-2,Harper,6,2,2006,2006-02-06,11,2015,2015-11-01,1959,Male,False,1,2006,2006-01-01
CAN,20,cb-20-1,Trudeau,4,11,2015,2015-11-04,0,0,,1971,Male,False,10,2015,2015-10-01
BHM,31,A2.9-154,Pindling,10,7,1973,1973-07-10,8,1992,1992-08-01,1930,Male,False,1,1967,1967-01-01
BHM,31,A2.9-157,Ingraham,21,8,1992,1992-08-21,5,2002,2002-05-01,1947,Male,False,8,1992,1992-08-01
BHM,31,A2.9-160,Christie,3,5,2002,2002-05-03,5,2005,2005-05-01,1943,Male,False,5,2002,2002-05-01
BHM,31,A3.0-3,Pratt,4,5,2005,2005-05-04,6,2005,2005-06-01,1945,Female,False,0,0,
BHM,31,A2.9-160a,Christie,1,6,2005,2005-06-01,5,2007,2007-05-01,1943,Male,False,5,2002,2002-05-01
BHM,31,A3.0-4,Ingraham,4,5,2007,2007-05-04,5,2012,2012-05-01,1947,Male,False,5,2007,2007-05-01
BHM,31,cb-31-1,Christie,8,5,2012,2012-05-08,5,2017,2017-05-01,1943,Male,False,5,2012,2012-05-01
BHM,31,se-31-2,Hubert Minnis,11,5,2017,2017-05-11,0,0,,1954,Male,False,5,2017,2017-05-01
CUB,40,A2.9-205,Prio Socarres,10,10,1948,1948-10-10,3,1952,1952-03-01,1903,Male,False,6,1948,1948-06-01
CUB,40,A2.9-208,Batista,10,3,1952,1952-03-10,1,1959,1959-01-01,1901,Male,True,11,1954,1954-11-01
CUB,40,A2.9-211,Castro,2,1,1959,1959-01-02,2,2008,2008-02-01,1927,Male,False,2,1976,1976-02-01
CUB,40,A3.0-5,Raul Castro,24,2,2008,2008-02-24,0,0,,1931,Male,True,1,2008,2008-01-01
HAI,41,A2.9-277,Estime,16,8,1946,1946-08-16,5,1950,1950-05-01,1900,Male,False,8,1946,1946-08-01
HAI,41,A2.9-280,Magloire,10,5,1950,1950-05-10,12,1956,1956-12-01,1907,Male,True,10,1950,1950-10-01
HAI,41,A2.9-283,Pierre-Louis,12,12,1956,1956-12-12,2,1957,1957-02-01,1900,Male,False,0,0,
HAI,41,A2.9-286,Sylvain,7,2,1957,1957-02-07,4,1957,1957-04-01,1909,Male,False,0,0,
HAI,41,A2.9-289,Executive Council,2,4,1957,1957-04-02,5,1957,1957-05-01,1910,Male,True,0,0,
HAI,41,A2.9-295,Cantave,20,5,1957,1957-05-20,5,1957,1957-05-01,1910,Male,True,0,0,
HAI,41,A2.9-298,Fignole,26,5,1957,1957-05-26,6,1957,1957-06-01,1914,Male,False,0,0,
HAI,41,A2.9-301,Kebreau,14,6,1957,1957-06-14,10,1957,1957-10-01,1909,Male,True,0,0,
HAI,41,A2.9-304,"Duvalier, Francois",15,10,1957,1957-10-15,4,1971,1971-04-01,1907,Male,False,9,1957,1957-09-01
HAI,41,A2.9-307,"Duvalier, Jean-",22,4,1971,1971-04-22,2,1986,1986-02-01,1951,Male,False,1,1971,1971-01-01
HAI,41,A2.9-310,Namphy,7,2,1986,1986-02-07,2,1988,1988-02-01,1932,Male,True,3,1987,1987-03-01
HAI,41,A2.9-313,Manigat,7,2,1988,1988-02-07,6,1988,1988-06-01,1930,Male,False,1,1988,1988-01-01
HAI,41,A2.9-316,Namphy,20,6,1988,1988-06-20,9,1988,1988-09-01,1932,Male,True,0,0,
HAI,41,A2.9-319,Avril,17,9,1988,1988-09-17,3,1990,1990-03-01,1938,Male,True,0,0,
HAI,41,A2.9-325,Pascal-Troillet,13,3,1990,1990-03-13,2,1991,1991-02-01,1943,Female,False,0,0,
HAI,41,A2.9-328,Aristide,7,2,1991,1991-02-07,9,1991,1991-09-01,1953,Male,False,12,1990,1990-12-01
HAI,41,A2.9-331,Cedras,30,9,1991,1991-09-30,10,1994,1994-10-01,1949,Male,True,0,0,
HAI,41,A2.9-334,Aristide,15,10,1994,1994-10-15,2,1996,1996-02-01,1953,Male,False,0,0,
HAI,41,A2.9-337,Preval,7,2,1996,1996-02-07,2,2001,2001-02-01,1943,Male,False,12,1995,1995-12-01
HAI,41,A2.9-340,Aristide,8,2,2001,2001-02-08,2,2004,2004-02-01,1953,Male,False,11,2000,2000-11-01
HAI,41,A2.9-343,Boniface Alexandre,29,2,2004,2004-02-29,5,2006,2006-05-01,1936,Male,False,0,0,
